0.100000,106.643,55.7857,3,3.64286,1.57143,3.28571,2.28571,2.92857,0.714286,2.14286,2,2.35714,1.21429,1.92857,1.64286,2.35714
0.200000,109.385,58.6923,2.53846,3.46154,0.846154,2.84615,2.38462,2.92308,0.615385,2.23077,1.69231,2.15385,0.615385,1.92308,1.53846,2.23077
0.300000,108.667,57.1852,2.81481,3.62963,0.814815,3.25926,2.22222,3.11111,0.37037,2.14815,1.7037,2.2963,0.888889,2.14815,1.85185,1.85185
0.400000,106.593,54.963,2.59259,3.77778,1.33333,3.25926,2.44444,3.18519,0.518519,2.07407,2.07407,2.44444,1.18519,2,1.40741,2.51852
0.500000,108.889,57.9259,2.44444,3.25926,0.962963,2.81481,2.81481,3.18519,0.518519,2,1.85185,2,0.740741,1.92593,1.7037,2.22222
0.600000,108.37,57.1111,3.25926,3.55556,1.33333,3.11111,2.59259,3.18519,0.666667,2.07407,2,2.44444,1.11111,2,1.85185,2
0.700000,104.815,55.1852,2.59259,3.33333,0.962963,2.96296,2.2963,3.18519,0.666667,2.07407,1.77778,2.22222,0.962963,2,1.48148,2.51852
0.800000,109.556,58.2222,2.96296,3.55556,1.11111,3.33333,2.44444,3.40741,0.518519,2.07407,1.85185,2.51852,0.888889,2.07407,1.48148,2.22222
0.900000,107.185,56.1481,2.81481,3.7037,0.962963,3.18519,2.51852,3.25926,0.444444,2.22222,1.77778,2.2963,0.962963,2.07407,1.7037,2.44444
1.000000,106.462,55.3077,2.61538,3.76923,1,2.92308,2.30769,3.15385,0.615385,2.15385,1.61538,2.53846,1,2.07692,1.53846,2.46154
1.100000,110,58.2963,2.88889,3.62963,0.962963,3.11111,2,3.03704,0.592593,1.92593,1.55556,2.37037,0.962963,2,1.33333,2.59259
1.200000,105.852,55.9259,3.03704,3.33333,0.962963,2.96296,2.07407,3.33333,0.296296,2.37037,1.7037,2,0.740741,1.85185,1.7037,2.14815
1.300000,107.852,55.8519,3.25926,3.7037,1.18519,3.48148,2.66667,3.25926,0.148148,2.07407,2,2.37037,1.11111,2.07407,1.85185,2.37037
1.400000,110.889,58.2963,2.88889,3.48148,1.33333,3.33333,2.22222,3.11111,0.518519,2.07407,1.77778,2.44444,1.25926,2.14815,1.48148,2.44444
1.500000,104.889,54.963,2.74074,3.55556,0.888889,3.11111,2.59259,3.33333,0.518519,1.92593,2.22222,2.51852,0.814815,2,1.48148,2.14815
1.600000,108.148,56.2222,3.03704,3.62963,1.25926,3.03704,2.74074,3.25926,0.296296,2,2.07407,2.37037,1.25926,2,1.92593,2.37037
1.700000,111.259,58.4444,3.11111,3.62963,0.888889,3.25926,2.59259,3.18519,0.592593,2,1.85185,2.14815,0.888889,1.92593,1.7037,2.51852
1.800000,104.074,54.4444,2.81481,3.55556,1.11111,3.18519,2.66667,2.96296,0.444444,2.2963,1.85185,2.37037,0.888889,1.92593,1.62963,2.22222
1.900000,108.519,56.5926,3.33333,3.25926,1.25926,2.88889,2.81481,3.03704,0.37037,2.07407,2.14815,2.22222,1.33333,1.7037,1.85185,2.37037
